#,Finding a task to start with,Finding a mentor,"Poor ""How to contribute""",Newcomers don’t know what is the contribution flow,Lack of Patience,Shyness,Lack of domain expertise,Lack of knowledge in project processes and practice,Knowledge on technologies and tools used,Knowledge of versioning control systems,Receiving answers with too advanced/complex contents,Impolite answers,Not receiving an answer,Delayed Answer,Some newcomers need to contact a real person,Documentation Outdated,Documentation Overload,Documentation Unclear,Documentation Spread,Documentation General,Building workspace locally,Lack of information on how to send a contribution,Getting contribution accepted,Issue to create a patch,Females motivation,Females lower computer self-efficacy,Females risk-averse than males,Females process information comprehensively,Females learn in process-oriented learning styles,NO FACET,NO BARRIER
Receiving answers with too advanced/complex contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Barriers 3, row 19) One of the developers, Martyn Shaw, answered my question by proposing another improvement that would be most helpful (in his own words) to contribute with the project. However, since I have used the software only once (and in a very limited way), I do not have enough knowledge to understand or test his proposal. If the project in which I contributed was more familiar to me, this situation would probably not occur. Here is the answer: <MESSAGE>",
Impolite answers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not receiving an answer,,"(Barriers 10, row 8) I must have spent about one hour doing this. I followed the recommended steps from https://wiki.gnome.org/GnomeLove/Mentors and I tried to talk with Guillaume Desmottes using IRC, who ignored me for the time I was online on the GIMPNet #empathy channel. Maybe he was away, or maybe he didn’t want to waste time with an stranger. Unfortunately, he was the only mentor online.",,,,,,,,,,,,,"(Barriers 10, row 8) I must have spent about one hour doing this. I followed the recommended steps from https://wiki.gnome.org/GnomeLove/Mentors and I tried to talk with Guillaume Desmottes using IRC, who ignored me for the time I was online on the GIMPNet #empathy channel. Maybe he was away, or maybe he didn’t want to waste time with an stranger. Unfortunately, he was the only mentor online., (Barriers 10, row 14) Today I joined a roommate to see if together we could get people's attention on the Empathy channel on GIMPNet. We posted IRC messages, but just like yesterday, no one answered., (Barriers 10, row 15) Is not it strange that in the channel officially endorsed by the project people ignore you? Maybe I should only use the email., (Barriers 10, row 49) For this reason, the solution that seems most logical for me would be to do a pull request on Empathy's master branch. Does it make sense? Since I have not been able to talk to anyone in the developer community, I have no idea what contribution mechanics are going on inside.
, (Barriers 10, row 50) By the way, I think if I had the option, I would probably have chosen a project with a more active community, even if the bugs were more difficult. The lack of contact with the community and the lack of support are not an obstacle to the work, but they certainly undermine the will to contribute.
",,,,,,,,"(Barriers 10, row 56) Well, I did my pull request with some explanatory comments. By the level of community participation in bugzilla, I will not create many expectations, but since the heart of the project is hosted on Github, I imagine my request will be reviewed soon. Let’s wait.
, (Barriers 10, row 58) I spent a few days focused on other works, studying for a test that will happen next week, hoping that maybe during that time there would be some news in Empathy's repository. It is now 6:30 p.m. and so far I have had no answer - neither an acceptance of the contribution nor a refusal.
, (Barriers 10, row 59) In bugzilla there was also no comment or some kind of manifestation on my fix for bug # 738448. I do not say this with regret, for having observed the dynamics of the community, I imagined that the process would take some time. I'm just posting the news and as soon as I get something new, I'll write about it again.
, (Barriers 10, row 63) I still have no answer for both my bug report # 738448 and my pull request. This time, though, I can not argue there's zero activity in the repository: there was an update two days ago (nothing big, just translation). Anyway, it was a contribution from a member of the project. Of the maintainers, there is no sign of life. 
, (Barriers 10, row 67) In the end, it may have been just bad luck. Everyone is temporarily busy and someday everything will return to normal. In any case, I will end the diary with the same convictions with which I began the work. I still believe that the idea of ​​contributing to a free software project is great. I still enjoy the spirit that permeates community development. And I keep using Pidgin as a chat software.
",,,,,,,"(Barriers 5, row 12) Today I just saw if there was any response from the JabRef developers, I did not change the code and received no response., (Barriers 10, row 8) I must have spent about one hour doing this. I followed the recommended steps from https://wiki.gnome.org/GnomeLove/Mentors and I tried to talk with Guillaume Desmottes using IRC, who ignored me for the time I was online on the GIMPNet #empathy channel. Maybe he was away, or maybe he didn’t want to waste time with an stranger. Unfortunately, he was the only mentor online., (Barriers 10, row 14) Today I joined a roommate to see if together we could get people's attention on the Empathy channel on GIMPNet. We posted IRC messages, but just like yesterday, no one answered., (Barriers 10, row 15) Is not it strange that in the channel officially endorsed by the project people ignore you? Maybe I should only use the email., (Barriers 10, row 16) I looked for more bugs in Gnome’s Bugzilla. As I'm not feeling the ""enthusiasm"" of the community, maybe I should ask for a bug and try to fix it. This, however, may not be a good strategy, because if the purpose of this task is to have your code accepted by the developers, the natural way would be to have the bug assigned to me by one of them. Without communication, things really become difficult., (Barriers 10, row 49) For this reason, the solution that seems most logical for me would be to do a pull request on Empathy's master branch. Does it make sense? Since I have not been able to talk to anyone in the developer community, I have no idea what contribution mechanics are going on inside.
, (Barriers 10, row 50) By the way, I think if I had the option, I would probably have chosen a project with a more active community, even if the bugs were more difficult. The lack of contact with the community and the lack of support are not an obstacle to the work, but they certainly undermine the will to contribute.
, (Barriers 10, row 56) Well, I did my pull request with some explanatory comments. By the level of community participation in bugzilla, I will not create many expectations, but since the heart of the project is hosted on Github, I imagine my request will be reviewed soon. Let’s wait.
, (Barriers 10, row 58) I spent a few days focused on other works, studying for a test that will happen next week, hoping that maybe during that time there would be some news in Empathy's repository. It is now 6:30 p.m. and so far I have had no answer - neither an acceptance of the contribution nor a refusal.
, (Barriers 10, row 59) In bugzilla there was also no comment or some kind of manifestation on my fix for bug # 738448. I do not say this with regret, for having observed the dynamics of the community, I imagined that the process would take some time. I'm just posting the news and as soon as I get something new, I'll write about it again.
, (Barriers 10, row 63) I still have no answer for both my bug report # 738448 and my pull request. This time, though, I can not argue there's zero activity in the repository: there was an update two days ago (nothing big, just translation). Anyway, it was a contribution from a member of the project. Of the maintainers, there is no sign of life. 
, (Barriers 10, row 66) In fact, he did not want the task to end in that melancholy way. And deep down, deep down, I still hoped I'd get some response, some comment, some hint that they're reading what I posted. Even if it was a cold, rude and dishonorable answer. It would be enough that I did not feel like a Robinson Crusoe.
, (Barriers 10, row 67) In the end, it may have been just bad luck. Everyone is temporarily busy and someday everything will return to normal. In any case, I will end the diary with the same convictions with which I began the work. I still believe that the idea of ​​contributing to a free software project is great. I still enjoy the spirit that permeates community development. And I keep using Pidgin as a chat software.
",
Delayed Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some newcomers need to contact a real person,,"(Barriers 10, row 8) I must have spent about one hour doing this. I followed the recommended steps from https://wiki.gnome.org/GnomeLove/Mentors and I tried to talk with Guillaume Desmottes using IRC, who ignored me for the time I was online on the GIMPNet #empathy channel. Maybe he was away, or maybe he didn’t want to waste time with an stranger. Unfortunately, he was the only mentor online.",,,,,,,,,,,"(Barriers 10, row 8) I must have spent about one hour doing this. I followed the recommended steps from https://wiki.gnome.org/GnomeLove/Mentors and I tried to talk with Guillaume Desmottes using IRC, who ignored me for the time I was online on the GIMPNet #empathy channel. Maybe he was away, or maybe he didn’t want to waste time with an stranger. Unfortunately, he was the only mentor online., (Barriers 10, row 14) Today I joined a roommate to see if together we could get people's attention on the Empathy channel on GIMPNet. We posted IRC messages, but just like yesterday, no one answered., (Barriers 10, row 15) Is not it strange that in the channel officially endorsed by the project people ignore you? Maybe I should only use the email., (Barriers 10, row 49) For this reason, the solution that seems most logical for me would be to do a pull request on Empathy's master branch. Does it make sense? Since I have not been able to talk to anyone in the developer community, I have no idea what contribution mechanics are going on inside.
, (Barriers 10, row 50) By the way, I think if I had the option, I would probably have chosen a project with a more active community, even if the bugs were more difficult. The lack of contact with the community and the lack of support are not an obstacle to the work, but they certainly undermine the will to contribute.
",,,,,,,,,,,,,,,,,"(Barriers 3, row 15) I intend, as some of my colleagues working on Audacity, to consult community members through the mailing list to see if there is interest in implementing this feature for the project., (Barriers 5, row 21) I need a valid test file, I will ask the advisor.
Following the link passed by the advisor, I generated a class from the SimpleCsvImporter.java file and imported it:
<CODE>, (Barriers 8, row 14) In a casual conversation with Guilherme Noya, I commented that I was using the ""git init"" command to create my structure (which I thought would be needed to contribute), but then he warned me that ""git init"" is used to create a new project, which is not my case. ThenI got the idea to use the ""git clone"" command and bring the libreoffice repository to my machine. The conversation lasted less than 10 minutes., (Barriers 10, row 8) I must have spent about one hour doing this. I followed the recommended steps from https://wiki.gnome.org/GnomeLove/Mentors and I tried to talk with Guillaume Desmottes using IRC, who ignored me for the time I was online on the GIMPNet #empathy channel. Maybe he was away, or maybe he didn’t want to waste time with an stranger. Unfortunately, he was the only mentor online., (Barriers 10, row 14) Today I joined a roommate to see if together we could get people's attention on the Empathy channel on GIMPNet. We posted IRC messages, but just like yesterday, no one answered., (Barriers 10, row 15) Is not it strange that in the channel officially endorsed by the project people ignore you? Maybe I should only use the email., (Barriers 10, row 49) For this reason, the solution that seems most logical for me would be to do a pull request on Empathy's master branch. Does it make sense? Since I have not been able to talk to anyone in the developer community, I have no idea what contribution mechanics are going on inside.
, (Barriers 10, row 50) By the way, I think if I had the option, I would probably have chosen a project with a more active community, even if the bugs were more difficult. The lack of contact with the community and the lack of support are not an obstacle to the work, but they certainly undermine the will to contribute.
",
Documentation Outdated,,,,,,,,,,,,,,,,,,,,"(Barriers 9, row 6) Unfortunately I will not be able to complete the task on time. I found on the internet a tutorial about “Setting Up Registry Keys in C”. I tried to adapt the tutorial to the task I was trying to solve, but I did not succeed. For some reason, I could not use the functions described in the tutorial correctly, it was returning me a compilation error that I can not solve. I guess it's because the tutorial is a little old and describes the operations using older versions of Windows.","(Barriers 13, row 4) I am not sure if I download the source code correctly. The instructions that I found about how to compile the code are not working. I subscribed the developers lists (link found in the Audacity website)

, (Barriers 13, row 5) After endless frustrated attempts to compile the Audacity, I gave up for today.
I followed this tutorial: http://wiki.audacityteam.org/wiki/CompilingAudacityForBeginners.
However, when I tried to run the ./configure, it showed me an error saying that wx-config could not be found, but I already downloaded it and added it into the LD_LIBRARY_PATH.
",,,,,,,,,"(Barriers 9, row 6) Unfortunately I will not be able to complete the task on time. I found on the internet a tutorial about “Setting Up Registry Keys in C”. I tried to adapt the tutorial to the task I was trying to solve, but I did not succeed. For some reason, I could not use the functions described in the tutorial correctly, it was returning me a compilation error that I can not solve. I guess it's because the tutorial is a little old and describes the operations using older versions of Windows., (Barriers 10, row 6) Unfortunately, some contribution pages have been out of date for more than two years. However, at least some people seem to be very receptive and willing to help you, like this Empathy mentor: http://chandniverma.blogspot.com.br/
, (Barriers 13, row 4) I am not sure if I download the source code correctly. The instructions that I found about how to compile the code are not working. I subscribed the developers lists (link found in the Audacity website)

, (Barriers 13, row 5) After endless frustrated attempts to compile the Audacity, I gave up for today.
I followed this tutorial: http://wiki.audacityteam.org/wiki/CompilingAudacityForBeginners.
However, when I tried to run the ./configure, it showed me an error saying that wx-config could not be found, but I already downloaded it and added it into the LD_LIBRARY_PATH.
",
Documentation Overload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation Unclear,,,,,,,,,,,,,,,,,,,"(Barriers 8, row 43) I continue the search, so I found a link that has a list of bugs, but I do not know the relationship of the same with github, or if even it will help me in some way. I feel the need for a certain source, that will guide me during this process, because so far I have had to look for different solutions in different places.",,,,,,,,,,,"(Barriers 1, row 10) Resume of the project: 14:00 PM - 23:00 PM 
I started to look for the player online service, called mp3tunes. 
Nothing found.. 
I had even downloaded the IDE on the third day to debug the code, but I spent the day
looking in the application such service.
I did not find it. , (Barriers 7, row 2) On the LibreOffice website, I found links to source code and SDK for Mac OS: https://www.libreoffice.org/download/libreoffice-fresh/?type=mac-x86_64&version=4.3&lang=en-US

I still need to understand in the context of LibreOffice what is the difference between SDK and source code, because in the above link they are separated in different files, then I will decide if it is worth even trying to configure the development environment on the Mac., (Barriers 8, row 43) I continue the search, so I found a link that has a list of bugs, but I do not know the relationship of the same with github, or if even it will help me in some way. I feel the need for a certain source, that will guide me during this process, because so far I have had to look for different solutions in different places., (Barriers 8, row 50) I click on swfdec and then library, I choose a bug and the page with details appears (link). I can not easily locate what each information means, the first question that comes to my mind is ""where on that page is the location of the problem in the code itself?"".",
Documentation Spread,,,,,,,,,,,,,,,,,,"(Barriers 8, row 43) I continue the search, so I found a link that has a list of bugs, but I do not know the relationship of the same with github, or if even it will help me in some way. I feel the need for a certain source, that will guide me during this process, because so far I have had to look for different solutions in different places.",,,,,,,,,,,,"(Barriers 8, row 23) It basically consisted of an exhaustive search on the linux / ubuntu forums on solving my problem with depts for executing the necessary commands on the terminal. The search was done in about an hour and a half., (Barriers 8, row 43) I continue the search, so I found a link that has a list of bugs, but I do not know the relationship of the same with github, or if even it will help me in some way. I feel the need for a certain source, that will guide me during this process, because so far I have had to look for different solutions in different places.",
Documentation General,"(Barriers 6, row 14) I researched the bugs I found and did not really find any solutions, and I also did not find anything using FLOSS COACH, but I think that what's in the tool is very well detailed about what to do, the problem is often in the time spent to try again since either performing a step requires a lot of time., (Barriers 8, row 2) I begin to read some issues, and I am scared in the lack of details in some, the first one I opened already has comments in Chinese, feeding even more my fear in this world, still so little known. Within about 8 minutes I realize, that the issues will not give me the details I need, and I need to have a sense of the code structure so that the task makes sense. I feel like I'm not in the right place yet to understand the open issue in detail., (Barriers 9, row 4) The bugs that are listed as open seem to be quite complex, and I had difficulty selecting some to fetch some solution in the code. After a selection attempt, I searched in the code trying to find something, or at least where I should change to fix a bug, but I did not find much most of the time., (Barriers 10, row 9) I also spent an hour looking for feasible bugs, that is, bugs that can be solved by someone who clearly lacks the expertise to handle with a software with more than 100 thousand lines of code, without any documentation for developers.
",,"(Barriers 4, row 3) Like the organization of the information that specifies the collaboration, I noticed one detail that I consider negative: there is no quick and explicit indicator of how to run the JabRef code. There is even a README in the root directory to the code directory, but it also lacks instructions., (Barriers 4, row 11) At first, the intention to read these documents was to find some kind of help that would facilitate compilation and the understanding of the code. This goal was not achieved, but the information was still recorded, and it will be useful in another stage of the project., (Barriers 8, row 44) I'm having a hard time researching, because when I search for ""fixing the libreoffice bug"" and stuff like that, I always come across software manuals, rather than a quick community integration tutorial., (Barriers 9, row 7) I think I managed to evolve well in understanding the code, but in my opinion, a Wiki is missing (there is a wiki in the same place where the code is available, but it is completely empty), or something that helps less experienced developers with the code, to have a basic notion of how things work.",,,,,,,,,,,,,"(Barriers 9, row 6) Unfortunately I will not be able to complete the task on time. I found on the internet a tutorial about “Setting Up Registry Keys in C”. I tried to adapt the tutorial to the task I was trying to solve, but I did not succeed. For some reason, I could not use the functions described in the tutorial correctly, it was returning me a compilation error that I can not solve. I guess it's because the tutorial is a little old and describes the operations using older versions of Windows.",,,,,"(Barriers 4, row 3) Like the organization of the information that specifies the collaboration, I noticed one detail that I consider negative: there is no quick and explicit indicator of how to run the JabRef code. There is even a README in the root directory to the code directory, but it also lacks instructions.",,,,,,,"(Barriers 7, row 8) Looking for the archives of the list ""dev@pt-br.libreoffice.org: List for programming and development in Portuguese"" I found a single entry minimally relevant ""[pt-br-dev] Doubts about the BUILD in MacOSX"", but there is no mention about this ""pkg-config"" problem: http://listarchives.libreoffice.org/pt-br/dev/msg00637.html",,"(Barriers 4, row 3) Like the organization of the information that specifies the collaboration, I noticed one detail that I consider negative: there is no quick and explicit indicator of how to run the JabRef code. There is even a README in the root directory to the code directory, but it also lacks instructions., (Barriers 4, row 11) At first, the intention to read these documents was to find some kind of help that would facilitate compilation and the understanding of the code. This goal was not achieved, but the information was still recorded, and it will be useful in another stage of the project., (Barriers 6, row 14) I researched the bugs I found and did not really find any solutions, and I also did not find anything using FLOSS COACH, but I think that what's in the tool is very well detailed about what to do, the problem is often in the time spent to try again since either performing a step requires a lot of time., (Barriers 7, row 1) Diary created. 1 access in the FLOSS COACH.

FLOSS COACH seemed to me very well organized at first glance, but I confess that I was disappointed because in the FLOSS COACH “Workspace Setup”,  in the area of ​​""Resources provided by the project"", there is no information for Mac OS, only for Windows and Linux. I'll have to look for alternatives., (Barriers 7, row 4) BTW, I left a comment (with the wiki link above) on the floss coach page about not having information on ""local workspace setup"" for Mac., (Barriers 7, row 7) I searched on Google about this error but I still haven't found a solution ...
I'm considering sending a message to some mailing lists of devs from LibreOffice, but I need to check if there is any post related to my problem before. https://pt-br.libreoffice.org/ajuda/listas-de-discussao/, (Barriers 8, row 2) I begin to read some issues, and I am scared in the lack of details in some, the first one I opened already has comments in Chinese, feeding even more my fear in this world, still so little known. Within about 8 minutes I realize, that the issues will not give me the details I need, and I need to have a sense of the code structure so that the task makes sense. I feel like I'm not in the right place yet to understand the open issue in detail., (Barriers 8, row 34) After spending about 5 minutes watching the video mentioned above, I realize that the guy already has the libreoffice in Kdevelop, with the SW (writer) module included. So I decide to download Kdevelop to continue. However, when trying to give the ""sudo apt-get install kdevelop"" command, the system returns me the following error message ""dpkg has been interrupted, to correct the problem you have to manually run sudo dpkg --configure -a""., (Barriers 8, row 44) I'm having a hard time researching, because when I search for ""fixing the libreoffice bug"" and stuff like that, I always come across software manuals, rather than a quick community integration tutorial., (Barriers 8, row 45) My goal is to find a BUG to fix it but I'm not sure where to look for it, you also have the question: will this BUG be in the libreoffice writer module? I spent another 15 minutes searching, which ended up in nothing., (Barriers 9, row 2) I was able to run the code on my machine without any major problems, but I found problems with the code itself, which I could not quite understand yet. As we are very close to deadline, I am looking for something ""familiar"" in the list of bugs to focus on and try to solve., (Barriers 9, row 4) The bugs that are listed as open seem to be quite complex, and I had difficulty selecting some to fetch some solution in the code. After a selection attempt, I searched in the code trying to find something, or at least where I should change to fix a bug, but I did not find much most of the time., (Barriers 9, row 6) Unfortunately I will not be able to complete the task on time. I found on the internet a tutorial about “Setting Up Registry Keys in C”. I tried to adapt the tutorial to the task I was trying to solve, but I did not succeed. For some reason, I could not use the functions described in the tutorial correctly, it was returning me a compilation error that I can not solve. I guess it's because the tutorial is a little old and describes the operations using older versions of Windows., (Barriers 9, row 7) I think I managed to evolve well in understanding the code, but in my opinion, a Wiki is missing (there is a wiki in the same place where the code is available, but it is completely empty), or something that helps less experienced developers with the code, to have a basic notion of how things work., (Barriers 10, row 9) I also spent an hour looking for feasible bugs, that is, bugs that can be solved by someone who clearly lacks the expertise to handle with a software with more than 100 thousand lines of code, without any documentation for developers.
, (Barriers 10, row 30) Still, I think I've spent a lot of time trying to understand the code without being able to get anywhere. The lack of documentation for developers (yes, it does not exist) comes to be a paroxysm of contradiction in a collaborative project. In addition, Empathy's reliance on innumerable other packages has suggested to me that perhaps there is a better approach to ",
