#,Finding a task to start with,Finding a mentor,"Poor ""How to contribute""",Newcomers don’t know what is the contribution flow,Lack of Patience,Shyness,Lack of domain expertise,Lack of knowledge in project processes and practice,Knowledge on technologies and tools used,Knowledge of versioning control systems,Receiving answers with too advanced/complex contents,Impolite answers,Not receiving an answer,Delayed Answer,Some newcomers need to contact a real person,Documentation Outdated,Documentation Overload,Documentation Unclear,Documentation Spread,Documentation General,Building workspace locally,Lack of information on how to send a contribution,Getting contribution accepted,Issue to create a patch,Females motivation,Females lower computer self-efficacy,Females risk-averse than males,Females process information comprehensively,Females learn in process-oriented learning styles,NO FACET,NO BARRIER
Documentation Outdated,8,,5,,,,,,,,,,,,,,,,5,"2, 2","2, 2",,,,,,,,5,"2, 2, 5, 8",
Documentation Overload,,,,,,,5,,,,,,,,,,,"5, 9, 9",5,9,,,,,,6,,"5, 5, 6",,"5, 5, 5, 5, 9, 9",
Documentation Unclear,"4, 4",,"2, 4, 4, 4, 5, 9","4, 4, 5, 6",,4,8,"2, 4, 4, 8",8,9,,,8,,2,,"5, 9, 9",,,"4, 4, 4, 7, 8, 9, 9","7, 9","2, 8, 9",,,,,6,6,,"2, 4, 4, 4, 5, 5, 5, 5, 7, 8, 8, 8, 9, 9, 9, 9",
Documentation Spread,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,"5, 5",
Documentation General,"1, 4, 4, 4, 8, 8, 8, 9, 9, 9",,"4, 4, 4, 4, 4, 8, 9, 9, 9, 9, 9","4, 4, 4, 4",,4,"4, 5, 9","4, 4, 4, 4","4, 9",4,,,,,1,"2, 2",9,"4, 4, 4, 7, 8, 9, 9",,,"1, 1, 2, 2, 7, 8","4, 9",,,,,,"4, 8",,"1, 1, 1, 2, 2, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 7, 7, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9",
Building workspace locally,8,,8,,,,5,,"2, 5",9,,,,,1,"2, 2",,"7, 9",,"1, 1, 2, 2, 7, 8",,,,,,,,"5, 5",,"1, 1, 1, 2, 2, 2, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 7, 7, 8, 9",
Lack of information on how to send a contribution,,,"1, 2, 4, 9",4,,,,2,,4,,,,,2,,,"2, 8, 9",,"4, 9",,,,,,,,"1, 4",,"2, 8, 9",
Getting contribution accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issue to create a patch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Females motivation,8,,,,,,5,,5,,,,,,,,,,,,,,,,,,,"5, 6",,,"5, 6, 9"
Females lower computer self-efficacy,,,,1,,,,,,,,,,,,,6,,,,,,,,,,6,"1, 4, 4, 6, 6, 6, 6","1, 4, 6, 6, 6, 6",,"1, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 9, 9"
Females risk-averse than males,,,,6,,,5,,"5, 5",,,,,,,,,6,,,,,,,,6,,"4, 6, 7",7,,"4, 5, 6, 6, 7, 8"
Females process information comprehensively,"8, 8, 8",,"1, 4","1, 2, 4, 6",5,,"5, 5, 8","5, 8","5, 5, 5, 8, 8",4,,,,,2,,"5, 5, 6",6,,"4, 8","5, 5","1, 4",,,"5, 6","1, 4, 4, 6, 6, 6, 6","4, 6, 7",,"4, 4, 6, 7, 7, 8",,"3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9"
Females learn in process-oriented learning styles,,,5,,,,,,,,,,,,,5,,,,,,,,,,"1, 4, 6, 6, 6, 6",7,"4, 4, 6, 7, 7, 8",,,"1, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 8, 8, 8, 9"
NO FACET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO BARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
